name,Category,Rating,Nº Reviews,Stars,User Comment,Hours,Plus Code,Address,City,Province,Url,Latitude,Longitude,Url in Maps,categoria_puntuacion
Manjar Burger &amp; Grill,Restaurante,4.2,5.0,1.0,"Realice un pedido que demoró casi 2 h en llegar, no contestan en el restaurante, la respuesta es &quot;Es culpa del domiciliario&quot; , llega el pedido frío, con papas que no se las come ni el perro, y la lechuga fea prácticamente incomestible pésimo servicio al cliente y poca solución y pésima comida la verdad","domingo, 11 AMa10:30 AM; lunes, 11 AMa10:30 AM; martes, 11 AMa10:30 AM; miércoles, 11 AMa10:30 AM; jueves, 11 AMa10:30 AM; viernes, 11 AMa10:30 AM; sábado, 11 AMa10:30 AM","3VQV+2Q Floridablanca, Santander","El dorado, Cl 111A #32-40, Sotomayor, Floridablanca, Santander","Floridablanca, Santander",Santander,,7.0875041,-73.1055942,https://maps.app.goo.gl/hpb4fAWruL8u2CDK7,4.0-4.5
Checho&apos;s Burguers,Restaurante,4.1,29.0,4.0,Es un lugar muy bueno pero la comida es normal no me gustó que el servicio es bastante demorado a veces tarda más de 15 minutos pero la comida en general es buena y la atención también es bueno tiene buen servicio y buena variación en todas las comidas ofrecen wi-fi y parqueadero gratis estoy haciendo,"domingo, 4 PMa12 AM; lunes, 4 PMa12 AM; martes, 4 PMa12 AM; miércoles, 4 PMa12 AM; jueves, 4 PMa12 AM; viernes, 4 PMa12 AM; sábado, 4 PMa12 AM","3WH6+GJ Floridablanca, Santander","Cra. 9 #33-05, Floridablanca, Santander","Floridablanca, Santander",Santander,,7.0787561,-73.0884427,https://maps.app.goo.gl/ATnk3kedin3ATns86,4.0-4.5
CARBON Y MAS,Restaurante de comida rápida,4.4,458.0,5.0,"Excelente lugar en floridablanca me gusta mucho visitar este restaurante es rapido el servicio y muy buena la comida, se puede parquear el carro afuera, bastante acogedor","domingo, 11:30 AMa3:30 PM, 5:30a10 PM; lunes, Cerrado; martes, 11:30 AMa2 PM, 5:30a10 PM; miércoles, 11:30 AMa2 PM, 5:30a10 PM; jueves, 11:30 AMa2 PM, 5:30a10 PM; viernes, 11:30 AMa2 PM, 5a10:30 PM; sábado, 11:30 AMa3:30 PM, 5:30a11 PM","3W79+XP Floridablanca, Santander","Cl. 5 #15-08, Floridablanca, Santander","Floridablanca, Santander",Santander,https://www.instagram.com/carbonymasflorida/,7.0649073,-73.0806373,https://maps.app.goo.gl/JKDYSU35rhL5r4eN6,4.0-4.5
burger san miguel cañaveral,Hamburguesería,5.0,2.0,5.0,muy buen servicio y la comida muy rica,"domingo, 3 PMa2 AM; lunes, 3 PMa2:30 AM; martes, 3 PMa12 AM; miércoles, Abierto las 24 horas; jueves, 3:30 PMa2 AM; viernes, 3 PMa2 AM; sábado, 3 PMa3 AM","3VHR+9W Floridablanca, Santander","Cl. 17 #18-83, Floridablanca, Santander","Floridablanca, Santander",Santander,,7.0784498,-73.1077393,https://maps.app.goo.gl/wt5HXmHoJ2xjchrN8,4.5-5.0
COMIDA RAPIDA BAMBAM,Restaurante,4.0,142.0,5.0,"Me encanta, sus hamburguesas son muy ricas y las papas también, ellos mismos avisan que el domicilio demora un poco porque salen demasiados pedidos, pídelas temprano.","domingo, 4a11 PM; lunes, 4a11 PM; martes, 4a11 PM; miércoles, 4a11 PM; jueves, 4a11 PM; viernes, 11 AMa11 PM; sábado, 4a11 PM","3WP2+VP Floridablanca, Santander","Cl. 126a # 45 - 02, Floridablanca, Santander","Floridablanca, Santander",Santander,,7.0872377,-73.0981394,https://maps.app.goo.gl/opLqd7KfsFYFWPPi8,4.0-4.5
Megadog comidas Rápidas,Restaurante de comida rápida,4.3,174.0,5.0,La comía es RICA atiende RÁPIDO . Y es bueno porque sirven en bandeja de aluminio y CUIDA EL MEDIO AMBIENTE.,"domingo, 5 PMa1 AM; lunes, 5 PMa12 AM; martes, 5 PMa12 AM; miércoles, 5 PMa12 AM; jueves, 5 PMa12 AM; viernes, 5 PMa1 AM; sábado, 5 PMa2 AM","3WV3+89 Floridablanca, Santander","Crr 43#105a-86, san bernardo, Floridablanca, Santander","Floridablanca, Santander",Santander,,7.0932899,-73.0965712,https://maps.app.goo.gl/6t6My8v7KZUaR5RA6,4.0-4.5
Peaky Burgers,Hamburguesería,5.0,10.0,5.0,"Fascinada con su decoración en el exterior. De las hamburguesas y perros calientes ni decir, son una delicia, frescura y excelente sazón. Gran amabilidad de sus dueños, la verdad que se siente en casa ,ambiente familiar y con naturaleza alrededor","domingo, 12 AMa12 PM, 5 PMa12 AM; lunes, 12 AMa12 PM, 6:50a11 PM; martes, 6:50a11 PM; miércoles, 6:50a11 PM; jueves, 6:50a11 PM; viernes, 6:50a11 PM; sábado, 5 PMa12 AM","3W94+HW Floridablanca, Santander","Cra. 3 #48-6, Floridablanca, Santander","Floridablanca, Santander",Santander,,7.0688837,-73.0926391,https://maps.app.goo.gl/m3eXrbhnwimpK7Ro8,4.5-5.0
Comidas Rápidas el Mirador De jors,Restaurante,4.3,226.0,5.0,Excelente 👌 comida muy rico y excelente servicio recomendadisimo,"domingo, 4:30 PMa1:45 AM; lunes, 4:30 PMa1:30 AM; martes, 4:30 PMa1 AM; miércoles, 4:30 PMa1 AM; jueves, 4:30 PMa1 AM; viernes, 4:30 PMa1 AM; sábado, 4:30 PMa2 AM","3WH2+WF Floridablanca, Santander","Cl. 11 #6-05 a 6-37, Floridablanca, Santander","Floridablanca, Santander",Santander,,7.0798155,-73.0988,https://maps.app.goo.gl/c9xLziiS7Hr7QQdg9,4.0-4.5
Comidas rapidas la mona del 20,,,,1.0,"Muy decepcionante la comida. Solo me concentraré en la carne, obviaré los demás elementos del plato. Pedí una chatas y definitivamente era carne de segunda y no parecía que la acabarán de asar. Pueden apreciar las fotos. Además no era fresca, eso se notó por su sabor y apariencia. NO recomendaría el lugar para ir a comer, e incluso mi recomendación sería no ir. Lástima, pues conocí el negocio cuando era un puesto de hamburguesas y perros hace 30 años y me alegró ver cuánto han crecido, sin embargo volví en compañía de 20 personas y el balance en general no fue bueno para la comida.","domingo, 5 PMa1 AM; lunes, 5 PMa1 AM; martes, Cerrado; miércoles, 5 PMa1 AM; jueves, 5 PMa1 AM; viernes, 5 PMa1 AM; sábado, 5 PMa1 AM",,"Frente al sector 17, Floridablanca, Santander",Floridablanca,Santander,,7.0683502,-73.0815416,,< 4.0
"Comidas Rápidas Floridablanca Mercedes Fast Food, Domicilios",Restaurante de comida rápida,4.7,20.0,5.0,"Excelente comida, relación calidad - precio justa, muy buena atención 😊","domingo, 5a11:30 PM; lunes, 5a11:30 PM; martes, 5a11:30 PM; miércoles, 5a11:30 PM; jueves, 5a11:30 PM; viernes, 5a11:30 PM; sábado, 5 PMa12 AM","3W63+G3 Floridablanca, Santander","Barrio La Paz, Cl. 200 #18-88, Floridablanca, Santander","Floridablanca, Santander",Santander,,7.0613424,-73.0973437,https://maps.app.goo.gl/NHTdYBzW3P9rYWKRA,4.5-5.0
